id,name,population,scrips_per_head,spend_per_head,drift
10H,NHS Chiltern CCG,253062.0,0.0015964467205665015,0.06630371213378537,-7.327600476190567
10J,NHS North Hampshire CCG,168882.0,0.001646119775938229,0.08399864994493192,30.929015682119836
10K,NHS Fareham and Gosport CCG,160950.0,3.5414725069897484E-4,0.016605529667598633,-114.7755220606849
10L,NHS Isle of Wight CCG,117428.0,0.00221412269646081,0.09457701740641072,53.79954214988892
10M,NHS Newbury and District CCG,89777.0,0.001782193657618321,0.07647159071922653,14.655445315724652
10N,NHS North & West Reading CCG,84359.0,0.0017781149610592824,0.07485508363067367,11.16054231781761
10Q,NHS Oxfordshire CCG,548978.0,0.0013534239987759073,0.05966341091992758,-21.683991972186448
10R,NHS Portsmouth CCG,171378.0,3.2092800709542646E-4,0.016853330065702717,-114.23977535078845
10T,NHS Slough CCG,103562.0,6.759236013209478E-4,0.029300708754176237,-87.32842964591143
10V,NHS South Eastern Hampshire CCG,168161.0,9.098423534588876E-4,0.041205095117179374,-61.5910382772482
10W,NHS South Reading CCG,100369.0,0.002092279488686746,0.08862656796421205,40.934616445757456
10X,NHS Southampton CCG,213671.0,0.0016005915636656354,0.08220469787664211,27.050475027417008
10Y,NHS Aylesbury Vale CCG,156171.0,9.86098571437719E-4,0.047162661441624856,-48.710725809101746
11A,NHS West Hampshire CCG,437677.0,0.0016244856366681366,0.0778012552635847,17.53019212951574
11C,"NHS Windsor, Ascot and Maidenhead CCG",119827.0,0.0017775626528244886,0.06837499061146488,-2.849477607194743
11D,NHS Wokingham CCG,122029.0,0.001016151898319252,0.04482688541248389,-53.76069478510678
11E,NHS Bath and North East Somerset CCG,159904.0,8.88032819691815E-4,0.0311917150290174,-83.2400569157183
11H,NHS Bristol CCG,376986.0,0.0011034892542428631,0.05087074851586001,-40.693807897627345
11J,NHS Dorset CCG,618898.0,0.002048802872201881,0.1034412294109851,72.96404896105562
11M,NHS Gloucestershire CCG,496709.0,0.001145539943910821,0.046887976662391855,-49.30459679501883
11N,NHS Kernow CCG,453574.0,8.796800522075781E-4,0.041569468267581455,-60.80326021879434
11T,NHS North Somerset CCG,170640.0,5.391467416783872E-4,0.025565869667135498,-95.40318565188996
11X,NHS Somerset CCG,438437.0,0.0014483266695101006,0.06475970321847836,-10.66576176550013
12A,NHS South Gloucestershire CCG,204972.0,0.0011904064945455965,0.05392590207442967,-34.088538173465345
12D,NHS Swindon CCG,172928.0,3.8744448556624723E-4,0.020335168393782382,-106.71200928208103
12F,NHS Wirral CCG,260837.0,0.0063717954124606555,0.2305307529223231,347.7327523386454
13P,NHS Birmingham Crosscity CCG,540420.0,7.457162947337256E-4,0.035340050331223866,-74.27131833939447
99A,NHS Liverpool CCG,396128.0,7.977219484611035E-4,0.04064792188383556,-62.79565186499937
99C,NHS North Tyneside CCG,174562.0,0.003299687217149208,0.11569574134118536,99.45841498396338
99D,NHS South Lincolnshire CCG,126824.0,0.0012300510944300764,0.06557181606005172,-8.909966430761198
99E,NHS Basildon and Brentwood CCG,207630.0,0.0022925396137359728,0.09460020228290708,53.84966806331486
99F,NHS Castle Point and Rochford CCG,146373.0,0.001038442882225547,0.058102245632732814,-25.05924549323958
99G,NHS Southend CCG,144026.0,0.0017149681307541693,0.0854119395109216,33.98456055171263
99H,NHS Surrey Downs CCG,226936.0,0.0019036204039905523,0.08818442203969395,39.978692943749174
99J,NHS West Kent CCG,365318.0,0.0029262177062175966,0.12784475443312376,125.72469156097385
99K,NHS High Weald Lewes Havens CCG,132882.0,0.0014147890609713882,0.06184140816664408,-16.975142155884594
99M,NHS North East Hampshire and Farnham CCG,170761.0,0.0024537218685765486,0.10221525992469001,70.31349180399978
99N,NHS Wiltshire CCG,362681.0,0.0013179626172862653,0.05533918236687336,-31.03301335336316
99P,"NHS North, East, West Devon CCG",722197.0,0.0017751389163898493,0.0731850589243655,7.549933744563346
99Q,NHS South Devon and Torbay CCG,234969.0,0.0015406287637943729,0.06527741957449701,-9.546454304661916
