LA_code,LA_name,cycling_weekly,cycling_rank,walking_thriceweekly,walking_rank,weekly_greenspace_visits,greenspace_rank,hospital_experience_score,hospital_rank,number_gp_practices,gppractices_per_thousand,pct_canseegp,gp_rank,dentists_per_thousand,dentists_rank,public_bike_docks,overall_rank,overall_grade
E07000046,TORRIDGE,7.4,-0.925127453692596,58.4,1.10336100035335,1.97847358121331,1.24035823135548,NA,NA,10,0.154559505409583,0.90053557765876,1.63950038506938,0.139103554868624,0.827249557466411,NA,0.777068344110407,B
E07000029,COPELAND,12,1.00222140816698,61.4,1.42617841093708,1.40684410646388,0.222374981717119,63,0.194202683515243,11,0.15647226173542,0.842493297587131,0.973122809202471,NA,NA,NA,0.763620058707779,B
E07000176,RUSHCLIFFE,12.6,1.10822559556926,53.6,-0.192726812288795,1.89285714285714,1.18105823623092,NA,NA,15,0.134408602150538,0.840793724042455,0.930813121845842,NA,NA,NA,0.756842535339306,B
E07000085,EAST HAMPSHIRE,11.5,0.838396754908915,53.5,-0.236090345053774,2.14318181818182,1.48744154437451,NA,NA,17,0.146048109965636,0.868568958063122,1.38564226092961,0.0945017182130584,0.287239429675837,NA,0.752525928967018,B
E06000022,BATH AND NORTH EAST SOMERSET,10.8,0.621570007949713,63,1.53699632800314,1.88098495212038,1.1612915711894,85,1.26742803978369,28,0.157657657657658,0.83989218328841,0.856771168971741,0.0337837837837838,-1.01108279245895,NA,0.738829053906456,B
E07000079,COTSWOLD,9,-0.178279769722011,55,0.173454131059916,2.25984251968504,1.55662487201983,NA,NA,13,0.155502392344498,0.881979695431472,1.55488101035612,0.107655502392345,0.505541396229474,NA,0.722444327988667,B
E07000047,WEST DEVON,10,0.26982884066034,63.9,1.5755416904609,1.60337552742616,0.716541607755161,NA,NA,10,0.185528756957328,0.821782178217822,0.317322655174719,NA,NA,NA,0.71980869851278,B
E09000013,HAMMERSMITH AND FULHAM,19.2,1.67679350981783,65.9,1.65263241537642,1.18918918918919,-0.291558309362445,129,1.47185191716816,31,0.172317954419122,0.730690537084399,-1.55488101035612,0.222345747637576,1.28683264494775,1471,0.706945194598598,B
E06000043,BRIGHTON AND HOVE,12,1.00222140816698,64.5,1.60926888261144,1.26538461538462,-0.133424989030271,61,0.0817695509537866,47,0.170413343002175,0.835738608723853,0.750996950580168,0.148658448150834,0.930655752149713,NA,0.706914592571969,B
E07000012,SOUTH CAMBRIDGESHIRE,18.1,1.65270164904458,55.6,0.409544476113689,2.02958579881657,1.31942489152157,NA,NA,17,0.112508272667108,0.844703770197487,1.00485507471994,0.0397088021178028,-0.861718289027512,NA,0.704961560474455,B
E07000043,NORTH DEVON,8.9,-0.245736979887096,62.4,1.49363279523816,1.66034482758621,0.845024930525051,73,0.848359091145536,13,0.138592750533049,0.828571428571429,0.497138826440393,NA,NA,NA,0.687683732692409,B
E07000133,MELTON,9,-0.178279769722011,63.5,1.5514508389248,1.87351778656126,1.15140823866864,NA,NA,5,0.0984251968503937,0.802895322939866,-0.190393593104831,0.177165354330709,1.10299940995522,NA,0.687437024944362,B
E09000027,RICHMOND UPON THAMES,21.4,1.69606699843643,64.3,1.599632541997,1.15360501567398,-0.35085830448701,NA,NA,33,0.17451084082496,0.777230046948357,-0.835616325293427,0.206240084611317,1.22938475901258,NA,0.667721933933114,C
E09000022,LAMBETH,16.6,1.6045179274981,62.8,1.52254181708148,0.839317773788151,-1.05257491346103,164,1.63539101907573,51,0.164410058027079,0.795006207752794,-0.380787186209663,0.109606705351386,0.517030973416507,946,0.641019939566854,C
E07000188,SEDGEMOOR,13.4,1.32987071468311,53.4,-0.264999366897093,1.64827586206897,0.815374932962769,NA,NA,15,0.129198966408269,0.833109619686801,0.66637757586691,NA,NA,NA,0.636655964153923,C
E07000167,RYEDALE,9.4,0.0192734886185957,59.3,1.22863342834107,1.40084388185654,0.202608316675597,NA,NA,7,0.134357005758157,0.849588719153937,1.07889702759404,NA,NA,NA,0.632353065307326,C
E07000131,HARBOROUGH,8.3,-0.534839309166032,58.9,1.15636087373277,2.25,1.54179987323869,NA,NA,8,0.0925925925925926,0.830678466076696,0.571180779314494,0.104166666666667,0.402135201546172,NA,0.627327483733219,C
E07000135,OADBY AND WIGSTON,9.1,-0.115640931711574,55.2,0.274635707511533,1.92307692307692,1.20082490127244,NA,NA,10,0.17825311942959,0.829611248966088,0.539448513797022,0.17825311942959,1.11448898714225,NA,0.602751435602334,C
E06000023,BRISTOL,15.8,1.55151583379696,59.1,1.19972440649775,NA,NA,142,1.51273669264505,56,0.129479768786127,0.796143250688705,-0.370209764370505,0.0393063583815029,-0.884697443401579,NA,0.601813945033535,C
E07000050,NORTH DORSET,7.3,-0.968492803084436,55.8,0.501089711950867,2.12307692307692,1.45779154681222,NA,NA,8,0.115440115440115,0.90436005625879,1.6606552287477,0.101010101010101,0.344687315611005,NA,0.599146200007471,C
E07000065,WEALDEN,9.8,0.173461397567362,56.8,0.76608907884796,1.33333333333333,0.0543583288641846,NA,NA,21,0.139072847682119,0.845001628134158,1.03658734023742,0.152317880794702,0.95363490652378,NA,0.59682621040814,C
E07000099,NORTH HERTFORDSHIRE,13.6,1.3491442033017,52.3,-0.607089458709704,1.59485530546624,0.677008277672117,NA,NA,15,0.116822429906542,0.817282070803198,0.264435545978932,0.225856697819315,1.29832222213478,NA,0.596364158075566,C
E07000078,CHELTENHAM,14.3,1.39732792484819,56.9,0.799816270998499,1.33853354134165,0.0840083264264671,69,0.684819989237963,15,0.129198966408269,0.781551362683438,-0.740419528741011,0.232558139534884,1.30981179932182,NA,0.589227463681988,C
E07000163,CRAVEN,9.6,0.101185815247628,62,1.48399645462372,5.4,1.714758192352,NA,NA,6,0.108108108108108,0.771587743732591,-0.951967965524157,NA,NA,NA,0.586993124174799,C
E07000044,SOUTH HAMS,7.7,-0.756484428279883,55.9,0.539635074408626,1.71768707482993,0.963624920774181,NA,NA,11,0.131578947368421,0.886590038314176,1.58661327587359,NA,NA,NA,0.58334721069413,C
E07000005,CHILTERN,8.4,-0.505929076238138,53.7,-0.139726938909376,2.32142857142857,1.6159248671444,NA,NA,11,0.118279569892473,0.870670995670996,1.43852937012539,0.10752688172043,0.49405181904244,NA,0.580570008232943,C
E07000097,EAST HERTFORDSHIRE,9,-0.178279769722011,55.9,0.539635074408626,2.07692307692308,1.37872488664614,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.580026730444251,C
E07000210,MOLE VALLEY,9.6,0.101185815247628,57.5,0.929906869293436,1.25384615384615,-0.172958319113315,NA,NA,11,0.128205128205128,0.840152755046372,0.867348590810898,0.174825174825175,1.06853067839411,NA,0.558802726926552,C
E07000063,LEWES,11.8,0.944400942311191,61.8,1.46472377339484,1.21311475409836,-0.252024979279401,NA,NA,12,0.121580547112462,0.831223628691983,0.592335622992809,0.0709219858156028,0.0114895771870335,NA,0.552184987321295,C
E06000028,BOURNEMOUTH,12.3,1.06004187402277,58,1.02145210513061,1.58125,0.637474947589074,78,1.10388893787612,24,0.128548473486877,0.816059517701385,0.222125858622303,0.0428494911622925,-0.735332939970144,NA,0.551608463878455,C
E07000008,CAMBRIDGE,48.6,1.72497723136432,56.1,0.616725799324144,0.586206896551724,-1.49732487689527,60,0.0102211938692233,17,0.135782747603834,0.865345869711216,1.32217772989466,0.175718849840256,1.09150983276818,NA,0.544714485054211,C
E07000052,WEST DORSET,7.5,-0.872125359991457,60.4,1.358724026636,1.64739884393064,0.805491600442008,54,-0.388405367030487,20,0.201005025125628,0.904936974789916,1.67123265058685,0.120603015075377,0.677885054034976,NA,0.542133767446316,C
E08000015,WIRRAL,10.1,0.313194190052181,57.8,0.992543083287294,1.52296819787986,0.46945829473614,89,1.28787042752214,61,0.19050593379138,0.85233197125546,1.10005187127236,0.0343535290443473,-0.98810363808488,NA,0.529169038130872,C
E07000235,MALVERN HILLS,9.1,-0.115640931711574,50.6,-1.04554295666671,2.30935251798561,1.59615820210287,NA,NA,9,0.12,0.902616279069767,1.65007780690854,NA,NA,NA,0.521263030158282,C
E07000173,GEDLING,11.3,0.746847683970585,52,-0.693816524239662,1.66876971608833,0.854908263045812,NA,NA,14,0.122699386503067,0.856330749354005,1.17409382414646,NA,NA,NA,0.520508311730799,C
E09000033,WESTMINSTER,13.5,1.3395074589924,68.7,1.70563228875584,0.798728813559322,-1.11187490858559,109,1.39008236621437,31,0.138454667262171,0.716091245376079,-1.6606552287477,0.602947744528808,1.41321799400512,2631,0.512651661772407,C
E07000089,HART,11.5,0.838396754908915,50.3,-1.14190636281111,3.57142857142857,1.70487485983124,NA,NA,9,0.0976138828633406,0.836858006042296,0.78272921609764,0.0976138828633406,0.298729006862871,NA,0.496564694977912,C
E07000148,NORWICH,16.6,1.6045179274981,61.9,1.47436011400928,0.740740740740741,-1.22059156631396,NA,NA,19,0.141474311243485,0.815006468305304,0.190393593104831,0.104244229337305,0.425114355920239,NA,0.494758884843697,C
E07000207,ELMBRIDGE,15.1,1.48405862363187,56.9,0.799816270998499,0.94475138121547,-0.884558260608095,NA,NA,19,0.144486692015209,0.8012912482066,-0.232703280461461,0.220532319391635,1.27534306776072,NA,0.488391284264307,C
E07000229,WORTHING,11.1,0.693845590269447,56.8,0.76608907884796,1,-0.741249939057063,68,0.592829244414953,13,0.122989593188269,0.858603823921743,1.22698093334225,0.10406811731315,0.390645624359139,NA,0.488190088696114,C
E07000009,EAST CAMBRIDGESHIRE,10.2,0.36137791159867,55.1,0.216817663824894,1.54882154882155,0.528758289860705,NA,NA,8,0.0940070505287897,0.837047353760446,0.793306637936797,NA,NA,NA,0.475065125805267,C
E07000169,SELBY,15.1,1.48405862363187,52.6,-0.510726052565307,1.46414342629482,0.321208306924727,NA,NA,7,0.0832342449464923,0.803840877914952,-0.137506483909045,0.190249702734839,1.20640560463852,NA,0.472687999744153,C
E07000084,BASINGSTOKE AND DEANE,11.7,0.910672337228649,53.2,-0.332453751198171,1.41333333333333,0.24214164675864,71,0.76658954019175,18,0.105571847507331,0.82691149909693,0.444251717244607,0.134897360703812,0.781291248718278,NA,0.468748789823959,C
E07000152,EAST NORTHAMPTONSHIRE,8.8,-0.313194190052181,57.4,0.896179677142897,1.56415094339623,0.58805828498527,NA,NA,11,0.125858123569794,0.813618003462204,0.126929062069888,0.160183066361556,1.02257236964598,NA,0.464109040758371,C
