ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
08J,2011,Aug,149041.0,6666.0,110785.34000000001,16.619462946294632
08K,2011,Aug,307823.0,12936.0,214786.78999999998,16.603802566481136
08L,2011,Aug,234814.0,12686.0,235220.71000000002,18.541755478480216
08M,2011,Aug,271513.0,18477.0,426053.9499999999,23.058610705201055
08N,2011,Aug,213037.0,14936.0,287788.52,19.26811194429566
08P,2011,Aug,157999.0,5179.0,86920.68,16.783294072214712
08Q,2011,Aug,260188.0,11595.0,198494.16999999998,17.11894523501509
08R,2011,Aug,168414.0,8517.0,169170.86,19.862728660326404
08T,2011,Aug,142037.0,7444.0,154682.97,20.779549973132724
08V,2011,Aug,209768.0,12269.0,216993.89999999997,17.686355856223
08W,2011,Aug,221026.0,12986.0,253869.78999999998,19.549498690897888
08X,2011,Aug,300906.0,11763.0,223894.25999999992,19.03377199693955
08Y,2011,Aug,200588.0,7889.0,129432.08000000005,16.406652300671826
09A,2011,Aug,165985.0,5820.0,106879.51999999999,18.364178694158074
09C,2011,Aug,95496.0,5250.0,114483.62000000002,21.806403809523815
09D,2011,Aug,246425.0,9457.0,203228.44,21.489736702971346
09E,2011,Aug,170878.0,9221.0,195276.53,21.17737013339117
09F,2011,Aug,152396.0,8483.0,162236.61,19.124909819639278
09G,2011,Aug,395058.0,22445.0,544759.1,24.270844286032524
09H,2011,Aug,97051.0,5375.0,126672.60000000003,23.566995348837217
09J,2011,Aug,191882.0,10425.0,240393.68000000002,23.059345803357317
09L,2011,Aug,129916.0,5887.0,112580.51000000001,19.1235790725327
09N,2011,Aug,171928.0,7196.0,133075.69999999998,18.49301000555864
09P,2011,Aug,147619.0,8451.0,191744.79,22.689006034788783
09W,2011,Aug,216659.0,13690.0,306360.89,22.37844338933528
09X,2011,Aug,178339.0,8173.0,175814.82000000004,21.5116627921204
09Y,2011,Aug,280371.0,14295.0,298053.79,20.85021266176985
10A,2011,Aug,158284.0,9803.0,226869.63999999998,23.142878710598794
10C,2011,Aug,72551.0,3529.0,72525.53000000001,20.55129781807878
10D,2011,Aug,83012.0,5459.0,115510.55,21.159653782744094
10E,2011,Aug,111096.0,7364.0,156479.51,21.249254481260184
10G,2011,Aug,105928.0,4946.0,113676.79999999999,22.98358269308532
10H,2011,Aug,253062.0,12263.0,259707.15999999997,21.178109761069884
10J,2011,Aug,168882.0,8878.0,159164.86999999994,17.928009686866403
10K,2011,Aug,160950.0,8763.0,167653.66000000003,19.13199360949447
10L,2011,Aug,117428.0,6720.0,138820.17000000004,20.65776339285715
10M,2011,Aug,89777.0,3572.0,74292.21999999999,20.79849384098544
10N,2011,Aug,84359.0,3567.0,80412.73,22.543518362769834
10Q,2011,Aug,548978.0,24080.0,483874.51999999996,20.09445681063123
10R,2011,Aug,171378.0,8414.0,165330.45999999996,19.649448538150697
10T,2011,Aug,103562.0,7765.0,148969.22000000006,19.184703155183524
10V,2011,Aug,168161.0,9562.0,175539.78,18.358061075088894
10W,2011,Aug,100369.0,4261.0,97470.78,22.875095048110772
10X,2011,Aug,213671.0,10428.0,207425.04000000004,19.891162255466057
10Y,2011,Aug,156171.0,7601.0,164794.25999999998,21.68060255229575
11A,2011,Aug,437677.0,20904.0,433117.55999999994,20.719362801377724
11C,2011,Aug,119827.0,5537.0,113899.03000000001,20.57053097345133
11D,2011,Aug,122029.0,4965.0,101889.00999999997,20.521452165156084
11E,2011,Aug,159904.0,6968.0,136293.24000000002,19.559879448909303
11H,2011,Aug,376986.0,16988.0,302305.5899999999,17.79524311278549
11J,2011,Aug,619106.0,33342.0,639882.8699999999,19.191496310959145
11M,2011,Aug,496709.0,28502.0,553297.8200000002,19.412596309030953
11N,2011,Aug,453574.0,24704.0,518481.38000000006,20.987750161917102
11T,2011,Aug,170640.0,8910.0,158999.97999999998,17.84511560044893
11X,2011,Aug,438437.0,24405.0,440116.87999999995,18.033881581643104
12A,2011,Aug,204972.0,9937.0,191702.23999999996,19.291762101237794
12D,2011,Aug,172928.0,9539.0,210807.63999999996,22.099553412307365
12F,2011,Aug,268747.0,16122.0,322085.2299999999,19.977994665674228
13P,2011,Aug,542668.0,34376.0,821757.7700000003,23.904985164067963
